nombre,cargo,fecha_inicio,fecha_fin,highlited,Fecha de salida El Peruano,Fecha última
Silvia Nayda De La Cruz Quintana,Director General de la Dirección General Contra el Crimen Organizado,2024-10-04,2025-03-21,TRUE,,SI
Walter Cesar Olivos Romano,Director General de la Dirección General Contra el Crimen Organizado,2024-05-22,2024-10-01,TRUE,01/10/2024,NO
Mario Luis Accinelli Nolte,Director General de la Dirección General Contra el Crimen Organizado,2024-04-15,2024-05-22,TRUE,22/05/2024,NO
Walter Ortiz Acosta,Director General de la Dirección General Contra el Crimen Organizado,2024-01-17,2024-04-01,TRUE,01/04/2024,NO
Sonia Raquel Medina Calvo,Director General de la Dirección General Contra el Crimen Organizado,2023-03-25,2023-12-28,TRUE,28/12/2023,NO
Mario Luis Accinelli Nolte,Director General de la Dirección General de Gobierno Interior,2024-05-22,2025-03-21,TRUE,,SI
Jorge Luis Ortiz Marreros,Director General de la Dirección General de Gobierno Interior,2022-12-28,2024-05-10,TRUE,10/05/2024,NO
Benigna Del Carmen Aguilar Vela,Director General de la Dirección General de Gobierno Interior,2022-12-13,2022-12-28,TRUE,28/12/2022,NO
Carlos Noe Guillen Enriquez,Director General de la Dirección General de Información para la Seguridad,2024-06-27,2025-03-21,TRUE,,SI
Carlos Eduardo Carazas Cardenas,Director General de la Dirección General de Información para la Seguridad,2024-03-06,2024-04-30,TRUE,30/04/2024,NO
Susana Patricia Miraval Garcia,Director General de la Dirección General de Información para la Seguridad,2023-02-03,2023-12-01,TRUE,01/12/2023,NO
Maxfredid Felix Perez Rodriguez,Director General de la Dirección General de Inteligencia,2024-06-01,2025-03-21,TRUE,,SI
Victor Manuel Seguier Rosas,Director General de la Dirección General de Inteligencia,2024-05-15,2024-06-01,TRUE,01/06/2024,NO
Sergio Luis Antonio Monar Moyoli,Director General de la Dirección General de Inteligencia,2023-12-01,2024-03-14,TRUE,14/03/2024,NO
Mario Nestor Moreno Alvarado,Director General de la Dirección General de Inteligencia,2023-01-16,2023-12-01,TRUE,01/12/2023,NO
Edwin Antenor Rolando Pereyra,Director General de la Dirección General de Orden Público,2024-05-21,2025-03-21,TRUE,,SI
Nestor Rogers Zegarra Silva,Director General de la Dirección General de Orden Público,2023-06-05,2024-04-22,TRUE,22/04/2024,NO
Martin Severo Parra Saldaña,Director General de la Dirección General de Orden Público,2023-04-18,2023-05-22,TRUE,22/05/2023,NO
Manuel Regner Rios Estrada,Director General de la Dirección General de Orden Público,2022-12-13,2023-04-18,TRUE,18/04/2023,NO
Luis Enrique Zamudio Argandoña,Director General de la Dirección General de Seguridad Ciudadana,2024-06-19,2025-03-21,TRUE,,SI
Aldo Lorenzo Villa Fajardo,Director General de la Dirección General de Seguridad Ciudadana,2024-02-19,2024-06-19,TRUE,19/06/2024,NO
George Gembey Otsu Sánchez,Director General de la Dirección General de Seguridad Ciudadana,2023-12-23,2024-02-19,TRUE,19/02/2024,NO
Miguel Fernando Lostaunau Fuentes,Director General de la Dirección General de Seguridad Ciudadana,2022-12-19,2023-12-12,TRUE,12/12/2023,NO
Liliana Mariella Orrillo Viacava,Director General de la Dirección General de Seguridad Democrática,2024-04-11,2025-03-21,TRUE,,SI
Aissa Vanessa Tejada Fernández,Director General de la Dirección General de Seguridad Democrática,2023-02-10,2024-03-19,TRUE,19/03/2024,NO
Erick Fernando Caso Giraldo,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-10-12,2025-03-21,TRUE,,SI
Walter Enrique Zegarra Figueroa,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-06-13,2024-10-12,TRUE,12/10/2024,NO
Clever Heli Vidal Vasquez,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-04-23,2024-06-13,TRUE,13/06/2024,NO
Juan Jose Santivañez Antunez,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-04-04,2024-04-17,TRUE,17/04/2024,NO
Omar German Valdez Ortiz,Jefe de Gabinete de Asesores de la Alta Dirección del Despacho Ministerial,2024-03-27,2024-04-04,TRUE,04/04/2024,NO
