Organización Política (nombre),Es coalicion,Perdió inscripción,Fecha inscripcion,Fecha pérdida inscripción,Fecha más antigua (Puede ser fundación),Total procesos electorales,Histórico autoridades electas,Nombre Candidato ,Candidato DNI
AHORA NACION - AN,No,No aplica,24/07/2024,No aplica,13/05/2023,0,0,PABLO ALFONSO LOPEZ CHAU NAVA,
ALIANZA ELECTORAL VENCEREMOS,Sí,No aplica,29/08/2025,No aplica,29/08/2025,0,0,RONALD DARWIN ATENCIO SOTOMAYOR,
ALIANZA PARA EL PROGRESO,No,Sí,12/02/2008,12/04/2007,08/12/2001,25,4871,CESAR ACUÑA PERALTA,
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,No,Sí,10/05/2017,27/08/2007,03/03/2005,5,768,JOSE DANIEL WILLIAMS ZAPATA,
FE EN EL PERU,No,No aplica,14/02/2023,No aplica,04/03/2021,0,0,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,
FUERZA POPULAR,No,No aplica,09/03/2010,No aplica,09/03/2010,17,1493,KEIKO SOFIA FUJIMORI HIGUCHI,
FUERZA Y LIBERTAD,Sí,No aplica,29/08/2025,No aplica,29/08/2025,0,0,FIORELLA GIANNINA MOLINELLI ARISTONDO,
JUNTOS POR EL PERU,No,No aplica,23/11/2009,No aplica,23/11/2009,13,544,ROBERTO HELBERT SANCHEZ PALOMINO,
LIBERTAD POPULAR,No,No aplica,08/06/2023,No aplica,31/12/2021,0,0,RAFAEL JORGE BELAUNDE LLOSA,
PARTIDO APRISTA PERUANO,No,Sí,24/03/2023,07/09/2021,20/09/1930,0,0,PITTER ENRIQUE VALDERRAMA PEÑA,
PARTIDO CIVICO OBRAS,No,Sí,15/07/2024,01/01/1996,08/07/1989,0,0,RICARDO PABLO BELMONT CASSINELLI,
PARTIDO DEL BUEN GOBIERNO,No,No aplica,02/08/2024,No aplica,28/08/2023,0,0,JORGE NIETO MONTESINOS,
PARTIDO DEMOCRATA UNIDO PERU,No,No aplica,13/03/2023,No aplica,23/02/2018,0,0,CHARLIE CARRASCO SALAZAR,
PARTIDO DEMOCRATA VERDE,No,No aplica,14/02/2023,No aplica,21/02/2021,0,0,ALEX GONZALES CASTILLO,
PARTIDO DEMOCRATICO FEDERAL,No,No aplica,21/01/2025,No aplica,30/07/2023,0,0,ARMANDO JOAQUIN MASSE FERNANDEZ,
PARTIDO DEMOCRATICO SOMOS PERU,No,No aplica,22/11/2004,No aplica,11/9/1997,35,6365,GEORGE PATRICK FORSYTH SOMMER,
PARTIDO FRENTE DE LA ESPERANZA 2021,No,No aplica,16/09/2021,13/07/2017,01/01/2020,1,290,LUIS FERNANDO OLIVERA VEGA,
PARTIDO MORADO,No,No aplica,01/03/2019,No aplica,16/10/2016,3,18,MESIAS ANTONIO GUEVARA AMASIFUEN,
PARTIDO PAIS PARA TODOS,No,No aplica,02/08/2024,No aplica,25/04/2023,0,0,CARLOS GONSALO ALVAREZ LOAYZA,
PARTIDO PATRIOTICO DEL PERU,No,No aplica,29/03/2022,No aplica,28/07/2017,1,0,HERBERT CALLER GUTIERREZ,
PARTIDO POLITICO COOPERACION POPULAR,No,No aplica,25/11/2024,No aplica,25/11/2024,0,0,YONHY LESCANO ANCIETA,
PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,No,No aplica,11/04/2025,No aplica,03/06/2023,0,0,WOLFGANG MARIO GROZO COSTA,
PARTIDO POLITICO NACIONAL PERU LIBRE,No,No aplica,15/01/2016,No aplica,13/08/2008,8,565,VLADIMIR ROY CERRON ROJAS,
PARTIDO POLITICO PERU ACCION,No,No aplica,25/07/2023,No aplica,28/11/2015,0,0,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,
PARTIDO POLITICO PERU PRIMERO,No,No aplica,19/06/2023,No aplica,03/12/2021,0,0,MARIO ENRIQUE VIZCARRA CORNEJO,
PARTIDO POLITICO PRIN,No,No aplica,19/01/2023,No aplica,29/12/2021,0,0,WALTER GILMER CHIRINOS PURIZAGA,
PARTIDO SICREO,No,No aplica,18/03/2024,No aplica,08/06/2022,0,0,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,
PERU MODERNO,No,No aplica,07/06/2023,No aplica,30/08/2021,0,0,CARLOS ERNESTO JAICO CARRANZA,
PODEMOS PERU,No,No aplica,10/01/2018,No aplica,17/04/2017,5,559,JOSE LEON LUNA GALVEZ,
"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",No,No aplica,05/07/2023,No aplica,12/12/2021,0,0,MARIA SOLEDAD PEREZ TELLO DE RODRIGUEZ,
PROGRESEMOS,No,No aplica,03/07/2024,No aplica,22/11/2023,0,0,PAUL DAVIS JAIMES BLANCO,
RENOVACION POPULAR,No,No aplica,07/12/2004,No aplica,12/01/1998,8,680,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,
SALVEMOS AL PERU,No,No aplica,29/05/2023,No aplica,30/08/2021,0,0,ANTONIO ORTIZ VILLANO,
UN CAMINO DIFERENTE,No,No aplica,11/04/2025,No aplica,01/01/2024,0,0,ROSARIO DEL PILAR FERNANDEZ BAZAN,
UNIDAD NACIONAL,Sí,No aplica,29/08/2025,No aplica,29/08/2025,0,0,ROBERTO ENRIQUE CHIABRA LEON,
Partido de los Trabajadores y Emprendedores PTE – Perú,No,No aplica,05/04/2024,No aplica,13/04/2023,0,0,Becerra García Napoleón,
