Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
AMAZONAS,GANA PERU,PARTIDO POLÍTICO,"58,275",41.00%,2011
AMAZONAS,FUERZA 2011,PARTIDO POLÍTICO,"45,738",32.18%,2011
AMAZONAS,PERÚ POSIBLE,ALIANZA ELECTORAL,"26,938",18.95%,2011
AMAZONAS,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"5,830",4.10%,2011
AMAZONAS,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"4,607",3.24%,2011
AMAZONAS,DESPERTAR NACIONAL,PARTIDO POLÍTICO,171,0.12%,2011
AMAZONAS,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,171,0.12%,2011
AMAZONAS,FUERZA NACIONAL,PARTIDO POLÍTICO,161,0.11%,2011
AMAZONAS,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,93,0.07%,2011
AMAZONAS,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,80,0.06%,2011
AMAZONAS,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,70,0.05%,2011
ANCASH,GANA PERU,PARTIDO POLÍTICO,"160,841",30.92%,2011
ANCASH,PERÚ POSIBLE,ALIANZA ELECTORAL,"156,214",30.03%,2011
ANCASH,FUERZA 2011,PARTIDO POLÍTICO,"108,375",20.83%,2011
ANCASH,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"56,762",10.91%,2011
ANCASH,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"33,609",6.46%,2011
ANCASH,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"1,201",0.23%,2011
ANCASH,FUERZA NACIONAL,PARTIDO POLÍTICO,803,0.15%,2011
ANCASH,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,688,0.13%,2011
ANCASH,DESPERTAR NACIONAL,PARTIDO POLÍTICO,657,0.13%,2011
ANCASH,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,571,0.11%,2011
ANCASH,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,543,0.10%,2011
APURIMAC,GANA PERU,PARTIDO POLÍTICO,"76,198",51.51%,2011
APURIMAC,FUERZA 2011,PARTIDO POLÍTICO,"38,892",26.29%,2011
APURIMAC,PERÚ POSIBLE,ALIANZA ELECTORAL,"17,152",11.60%,2011
APURIMAC,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"10,054",6.80%,2011
APURIMAC,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"3,657",2.47%,2011
APURIMAC,FUERZA NACIONAL,PARTIDO POLÍTICO,388,0.26%,2011
APURIMAC,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,374,0.25%,2011
APURIMAC,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,366,0.25%,2011
APURIMAC,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,343,0.23%,2011
APURIMAC,DESPERTAR NACIONAL,PARTIDO POLÍTICO,314,0.21%,2011
APURIMAC,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,183,0.12%,2011
AREQUIPA,GANA PERU,PARTIDO POLÍTICO,"348,717",47.87%,2011
AREQUIPA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"188,867",25.93%,2011
AREQUIPA,FUERZA 2011,PARTIDO POLÍTICO,"83,179",11.42%,2011
AREQUIPA,PERÚ POSIBLE,ALIANZA ELECTORAL,"63,548",8.72%,2011
AREQUIPA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"38,791",5.33%,2011
AREQUIPA,DESPERTAR NACIONAL,PARTIDO POLÍTICO,"1,385",0.19%,2011
AREQUIPA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"1,140",0.16%,2011
AREQUIPA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,966,0.13%,2011
AREQUIPA,FUERZA NACIONAL,PARTIDO POLÍTICO,921,0.13%,2011
AREQUIPA,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,490,0.07%,2011
AREQUIPA,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,473,0.07%,2011
AYACUCHO,GANA PERU,PARTIDO POLÍTICO,"137,663",58.04%,2011
AYACUCHO,FUERZA 2011,PARTIDO POLÍTICO,"57,462",24.23%,2011
AYACUCHO,PERÚ POSIBLE,ALIANZA ELECTORAL,"20,774",8.76%,2011
AYACUCHO,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"12,820",5.41%,2011
AYACUCHO,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"6,017",2.54%,2011
AYACUCHO,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,471,0.20%,2011
AYACUCHO,DESPERTAR NACIONAL,PARTIDO POLÍTICO,422,0.18%,2011
AYACUCHO,FUERZA NACIONAL,PARTIDO POLÍTICO,411,0.17%,2011
AYACUCHO,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,396,0.17%,2011
AYACUCHO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,376,0.16%,2011
AYACUCHO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,365,0.15%,2011
CAJAMARCA,FUERZA 2011,PARTIDO POLÍTICO,"195,586",34.05%,2011
CAJAMARCA,GANA PERU,PARTIDO POLÍTICO,"181,247",31.56%,2011
CAJAMARCA,PERÚ POSIBLE,ALIANZA ELECTORAL,"127,781",22.25%,2011
CAJAMARCA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"38,577",6.72%,2011
CAJAMARCA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"26,405",4.60%,2011
CAJAMARCA,DESPERTAR NACIONAL,PARTIDO POLÍTICO,"1,125",0.20%,2011
CAJAMARCA,FUERZA NACIONAL,PARTIDO POLÍTICO,"1,011",0.18%,2011
CAJAMARCA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,845,0.15%,2011
CAJAMARCA,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,660,0.12%,2011
CAJAMARCA,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,641,0.11%,2011
CAJAMARCA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,484,0.08%,2011
CUSCO,GANA PERU,PARTIDO POLÍTICO,"346,424",62.60%,2011
CUSCO,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"67,027",12.11%,2011
CUSCO,FUERZA 2011,PARTIDO POLÍTICO,"60,097",10.86%,2011
CUSCO,PERÚ POSIBLE,ALIANZA ELECTORAL,"44,407",8.03%,2011
CUSCO,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"29,673",5.36%,2011
CUSCO,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"1,313",0.24%,2011
CUSCO,DESPERTAR NACIONAL,PARTIDO POLÍTICO,"1,291",0.23%,2011
CUSCO,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,"1,108",0.20%,2011
CUSCO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,807,0.15%,2011
CUSCO,FUERZA NACIONAL,PARTIDO POLÍTICO,695,0.13%,2011
CUSCO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,524,0.10%,2011
HUANCAVELICA,GANA PERU,PARTIDO POLÍTICO,"84,191",55.46%,2011
HUANCAVELICA,FUERZA 2011,PARTIDO POLÍTICO,"28,305",18.65%,2011
HUANCAVELICA,PERÚ POSIBLE,ALIANZA ELECTORAL,"26,553",17.49%,2011
HUANCAVELICA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"6,854",4.52%,2011
HUANCAVELICA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"3,471",2.29%,2011
HUANCAVELICA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,702,0.46%,2011
HUANCAVELICA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,435,0.29%,2011
